time,commercial,helicopter,house,park,street,vehicle,,,,,,,,,
12AM,71,0,1,6,12,29,,,,,,,,,
1AM,33,1,1,1,156,28,,,,,,,,,
2AM,33,2,0,1,81,29,,,,,,,,,
3AM,26,0,2,4,51,12,,,,,,,,,
4AM,5,0,1,0,37,7,,,,,,,,,
5AM,3,0,1,0,14,3,,,,,,,,,
6AM,3,5,1,0,8,0,,,,,,,,,
7AM,2,0,0,1,9,3,,,,,,,,,
8AM,0,0,0,1,16,3,,,,,,,,,
9AM,1,0,0,0,9,4,,,,,,,,,
10AM,2,4,0,3,10,6,,,,,,,,,
11AM,4,4,1,0,14,4,,,,,,,,,
12PM,3,1,0,1,241,6,,,,,,,,,
1PM,2,1,1,7,25,3,,,394,33,23,127,1697,349,2623
2PM,6,2,1,3,23,11,,,,,,,,,
3PM,8,2,1,11,31,7,,,,,,,,,
4PM,12,3,0,6,44,10,,,,,,,,,
5PM,6,1,0,9,47,15,,,,,,,,,
6PM,7,2,1,7,66,12,,,,,,,,,
7PM,7,1,2,11,98,26,,,,,,,,,
8PM,15,1,0,16,114,18,,,,,,,,,
9PM,24,1,5,15,154,27,,,,,,,,,
10PM,43,0,1,11,214,42,,,,,,,,,
11PM,78,2,3,13,223,44,,,,,,,,,
,15%,1%,1%,5%,65%,13%,,,,,,,,,
