time,commercial,helicopter,house,park,street,vehicle,,,,,,,
12AM,56,0,0,4,78,38,,,,,,,
1AM,46,0,0,3,77,26,,,,,,,
2AM,30,0,0,2,38,18,,,,,,,
3AM,28,0,0,1,29,12,,,,,,,
4AM,6,0,0,0,13,3,,,,,,,
5AM,5,0,0,0,3,4,,,,,,,
6AM,2,0,0,0,2,4,,,,,,,
7AM,0,0,0,1,5,0,,,,,,,
8AM,0,0,0,0,2,0,,,,,,,
9AM,1,0,0,0,0,5,,,,,,,
10AM,0,0,0,0,0,0,,,,,,,
11AM,2,1,0,1,2,2,,,,,,,
12PM,3,0,0,0,1,2,,,,,,,
1PM,2,0,0,0,8,1,,,,,,,
2PM,2,0,0,2,8,3,,,,,,,
3PM,10,0,0,7,15,6,,,,,,,
4PM,3,0,0,5,13,1,,,,,,,
5PM,5,0,2,1,8,3,,,,,,,
6PM,5,0,0,5,8,8,,,,,,,
7PM,4,0,1,7,20,12,,,,,,,
8PM,8,0,0,15,16,10,,,,,,,
9PM,15,1,2,16,30,25,,,,,,,
10PM,55,0,1,26,72,26,,,,,,,
11PM,75,0,0,5,76,37,363,2,6,101,524,246,1242
,29%,0%,0%,8%,42%,20%,,,,,,,
